🇨🇳辽宁移动,#genre#
CCTV-1,http://39.134.61.218/PLTV/88888888/224/3221227005/index.m3u8 #shenyang
CCTV-1,http://39.134.61.218/PLTV/88888888/224/3221227090/index.m3u8
CCTV-1,http://39.134.61.218/PLTV/88888888/224/3221227086/index.m3u8
CCTV-1,http://39.134.61.218/PLTV/88888888/224/3221226896/index.m3u8
CCTV-2,http://39.134.61.218/PLTV/88888888/224/3221226843/index.m3u8
CCTV-2,http://39.134.61.218/PLTV/88888888/224/3221226929/index.m3u8
CCTV-2,http://39.134.61.218/PLTV/88888888/224/3221226980/index.m3u8
CCTV-2,http://39.134.61.218/PLTV/88888888/224/3221227023/index.m3u8
CCTV-3,http://39.134.61.218/PLTV/88888888/224/3221227058/index.m3u8
CCTV-3,http://39.134.61.218/PLTV/88888888/224/3221226889/index.m3u8
CCTV-4,http://39.134.61.218/PLTV/88888888/224/3221227084/index.m3u8
CCTV-4,http://39.134.61.218/PLTV/88888888/224/3221226845/index.m3u8
CCTV-5,http://39.134.61.218/PLTV/88888888/224/3221226900/index.m3u8
CCTV-5,http://39.134.61.218/PLTV/88888888/224/3221226944/index.m3u8
CCTV-5,http://39.134.61.218/PLTV/88888888/224/3221227021/index.m3u8
CCTV5+,http://39.134.61.218/PLTV/88888888/224/3221227092/index.m3u8
CCTV5+,http://39.134.61.218/PLTV/88888888/224/3221226912/index.m3u8
CCTV-6,http://39.134.61.218/PLTV/88888888/224/3221226891/index.m3u8
CCTV-7,http://39.134.61.218/PLTV/88888888/224/3221227054/index.m3u8
CCTV-7,http://39.134.61.218/PLTV/88888888/224/3221226640/index.m3u8
CCTV-7,http://39.134.61.218/PLTV/88888888/224/3221226915/index.m3u8
CCTV-7,http://39.134.61.218/PLTV/88888888/224/3221226925/index.m3u8
CCTV-8,http://39.134.61.218/PLTV/88888888/224/3221226903/index.m3u8
CCTV-8,http://39.134.61.218/PLTV/88888888/224/3221226946/index.m3u8
CCTV-9 ,http://39.134.61.218/PLTV/88888888/224/3221226976/index.m3u8
CCTV-9,http://39.134.61.218/PLTV/88888888/224/3221226849/index.m3u8
CCTV-9,http://39.134.61.218/PLTV/88888888/224/3221226923/index.m3u8
CCTV-10 ,http://39.134.61.218/PLTV/88888888/224/3221226966/index.m3u8
CCTV-10,http://39.134.61.218/PLTV/88888888/224/3221227046/index.m3u8
CCTV-10,http://39.134.61.218/PLTV/88888888/224/3221226604/index.m3u8
CCTV-10,http://39.134.61.218/PLTV/88888888/224/3221226904/index.m3u8
CCTV-10,http://39.134.61.218/PLTV/88888888/224/3221226907/index.m3u8
